from_id,from_name,to_id,to_name,followed_at
431626294,dnzdrmz,69906737,chocoTaco,2020-11-05T18:39:41Z
41681096,Hiiggsy,69906737,chocoTaco,2020-11-05T18:39:26Z
525832900,number2490,69906737,chocoTaco,2020-11-05T18:37:22Z
443487909,neutralityguhguh,69906737,chocoTaco,2020-11-05T18:36:07Z
549912974,itzjojobesh,69906737,chocoTaco,2020-11-05T18:35:48Z
529833244,tyrequq1yt,69906737,chocoTaco,2020-11-05T18:34:38Z
471424397,henkseevinck,69906737,chocoTaco,2020-11-05T18:34:30Z
604013833,fghkhgg,69906737,chocoTaco,2020-11-05T18:33:55Z
505672679,kaptanpolo23,69906737,chocoTaco,2020-11-05T18:33:34Z
167733922,Mattdw_,69906737,chocoTaco,2020-11-05T18:32:17Z
72946267,Vaantim,69906737,chocoTaco,2020-11-05T18:30:12Z
52810031,Bayeck,69906737,chocoTaco,2020-11-05T18:29:34Z
604010832,francisjeahd2,69906737,chocoTaco,2020-11-05T18:27:49Z
603520737,helmysoliman8888,69906737,chocoTaco,2020-11-05T18:27:08Z
86124871,philcgn81,69906737,chocoTaco,2020-11-05T18:22:46Z
468381295,7thWardChoppa,69906737,chocoTaco,2020-11-05T18:20:39Z
604009950,deonlytubo,69906737,chocoTaco,2020-11-05T18:20:11Z
232988784,apsuliman69,69906737,chocoTaco,2020-11-05T18:19:28Z
604008040,botsboy1,69906737,chocoTaco,2020-11-05T18:16:46Z
604008965,maanavparmar0810,69906737,chocoTaco,2020-11-05T18:15:29Z
596518334,jay198485,69906737,chocoTaco,2020-11-05T18:15:13Z
227708016,xgmoneyag,69906737,chocoTaco,2020-11-05T18:14:05Z
562495363,yochenc,69906737,chocoTaco,2020-11-05T18:12:49Z
475040680,definitelynotcarlito,69906737,chocoTaco,2020-11-05T18:12:44Z
148362353,bloodbane11,69906737,chocoTaco,2020-11-05T18:11:15Z
123571972,febriantoe,69906737,chocoTaco,2020-11-05T18:10:48Z
599722556,udaay123,69906737,chocoTaco,2020-11-05T18:10:15Z
553965858,santino_milla,69906737,chocoTaco,2020-11-05T18:06:49Z
141838008,TeamABE,69906737,chocoTaco,2020-11-05T18:06:38Z
601276778,barougi,69906737,chocoTaco,2020-11-05T18:05:47Z
66553144,streamer_is_maldin,69906737,chocoTaco,2020-11-05T17:57:23Z
23461403,Xsai_,69906737,chocoTaco,2020-11-05T17:57:18Z
110501180,Bradyn,69906737,chocoTaco,2020-11-05T17:56:08Z
461795563,ninja_kitsune,69906737,chocoTaco,2020-11-05T17:53:33Z
563483530,scar31231,69906737,chocoTaco,2020-11-05T17:53:26Z
603321545,edaoner123,69906737,chocoTaco,2020-11-05T17:51:49Z
604001071,soup0000,69906737,chocoTaco,2020-11-05T17:51:19Z
65163840,Hooligancheek,69906737,chocoTaco,2020-11-05T17:49:07Z
448650058,ghostterminator9,69906737,chocoTaco,2020-11-05T17:48:54Z
118410188,dzeikeris,69906737,chocoTaco,2020-11-05T17:46:41Z
23600331,Estrong1,69906737,chocoTaco,2020-11-05T17:46:37Z
151139430,mrbuggz,69906737,chocoTaco,2020-11-05T17:46:37Z
602505388,szabi2080,69906737,chocoTaco,2020-11-05T17:41:41Z
562058191,sajid04,69906737,chocoTaco,2020-11-05T17:40:36Z
151303832,Gravey___,69906737,chocoTaco,2020-11-05T17:40:17Z
554148997,shoxa12,69906737,chocoTaco,2020-11-05T17:38:07Z
253617749,dreandreee,69906737,chocoTaco,2020-11-05T17:36:20Z
603995718,ameya874,69906737,chocoTaco,2020-11-05T17:35:16Z
496624249,ktingogogo,69906737,chocoTaco,2020-11-05T17:33:45Z
587707243,bustem1315,69906737,chocoTaco,2020-11-05T17:32:00Z
577809994,nimasc,69906737,chocoTaco,2020-11-05T17:31:14Z
246885325,TheRealKsharp,69906737,chocoTaco,2020-11-05T17:29:17Z
505771581,WarriorEagle_,69906737,chocoTaco,2020-11-05T17:25:30Z
585750946,bowniewr,69906737,chocoTaco,2020-11-05T17:24:57Z
206969318,Xo1aceX,69906737,chocoTaco,2020-11-05T17:24:26Z
603133357,nezukoislove,69906737,chocoTaco,2020-11-05T17:23:30Z
180224199,BroKeo,69906737,chocoTaco,2020-11-05T17:22:56Z
409497041,sergiokiller_ita,69906737,chocoTaco,2020-11-05T17:22:51Z
603966744,SSRISAVEME,69906737,chocoTaco,2020-11-05T17:21:25Z
428847443,hyperbane1986,69906737,chocoTaco,2020-11-05T17:21:01Z
603990353,1tsmitsuha,69906737,chocoTaco,2020-11-05T17:17:32Z
603989948,homerjtac29,69906737,chocoTaco,2020-11-05T17:15:12Z
572263279,kimathiii,69906737,chocoTaco,2020-11-05T17:10:26Z
603323215,phyogyii,69906737,chocoTaco,2020-11-05T16:50:56Z
603980299,bongosnitch420,69906737,chocoTaco,2020-11-05T16:45:57Z
79052010,hot_mocha,69906737,chocoTaco,2020-11-05T16:42:18Z
603956474,wraxx919,69906737,chocoTaco,2020-11-05T16:40:52Z
219148776,henryreyes14,69906737,chocoTaco,2020-11-05T16:33:41Z
234890327,dudeunoob,69906737,chocoTaco,2020-11-05T16:32:24Z
147239479,DumbLogiQ,69906737,chocoTaco,2020-11-05T16:30:46Z
603625089,erkyiit,69906737,chocoTaco,2020-11-05T16:29:41Z
603975752,medbouchii,69906737,chocoTaco,2020-11-05T16:29:41Z
598653630,wangzheng11,69906737,chocoTaco,2020-11-05T16:19:36Z
507147699,ceo_peanuts,69906737,chocoTaco,2020-11-05T15:54:53Z
529677521,ggfrosty567,69906737,chocoTaco,2020-11-05T15:50:12Z
422885884,TeleWorldTV,69906737,chocoTaco,2020-11-05T15:38:06Z
603959791,old_bastian,69906737,chocoTaco,2020-11-05T15:36:59Z
601726673,rndclk,69906737,chocoTaco,2020-11-05T15:16:22Z
405121105,hellcurth_,69906737,chocoTaco,2020-11-05T15:15:11Z
518648809,caramel900227,69906737,chocoTaco,2020-11-05T15:11:32Z
553184127,mussabgh20,69906737,chocoTaco,2020-11-05T15:06:47Z
599951871,sorrybrojustfinesse,69906737,chocoTaco,2020-11-05T15:04:50Z
449505441,rohitnehra38,69906737,chocoTaco,2020-11-05T15:01:54Z
603951428,sukhbirsingh2,69906737,chocoTaco,2020-11-05T14:55:23Z
597195434,evicted_and_averted,69906737,chocoTaco,2020-11-05T14:35:06Z
174748842,ButterXH,69906737,chocoTaco,2020-11-05T14:34:02Z
603903632,arkarminsin,69906737,chocoTaco,2020-11-05T14:28:44Z
603944971,mauromalaga,69906737,chocoTaco,2020-11-05T14:28:11Z
569957721,peanutratbrain,69906737,chocoTaco,2020-11-05T14:26:18Z
603935468,italoxgg,69906737,chocoTaco,2020-11-05T14:18:23Z
580408935,dagigi1,69906737,chocoTaco,2020-11-05T14:12:26Z
433962194,blissedup,69906737,chocoTaco,2020-11-05T13:58:51Z
487313373,notvicthor,69906737,chocoTaco,2020-11-05T13:53:48Z
591110729,jellal98,69906737,chocoTaco,2020-11-05T13:44:06Z
603931247,dimapogonya,69906737,chocoTaco,2020-11-05T13:40:31Z
522499786,0_enotuk_0,69906737,chocoTaco,2020-11-05T13:34:28Z
603932422,lutung_puruh66,69906737,chocoTaco,2020-11-05T13:32:04Z
242613715,stavyy37,69906737,chocoTaco,2020-11-05T13:31:34Z
603930044,lukalav1989,69906737,chocoTaco,2020-11-05T13:20:28Z
603930262,gowmak,69906737,chocoTaco,2020-11-05T13:19:04Z
603927451,wisdom_1611,69906737,chocoTaco,2020-11-05T13:08:39Z
603927813,amzhdyt,69906737,chocoTaco,2020-11-05T13:08:07Z
603761564,akam_03,69906737,chocoTaco,2020-11-05T13:01:36Z
603925517,blopeszcl,69906737,chocoTaco,2020-11-05T12:57:35Z
603925481,arjunsk08,69906737,chocoTaco,2020-11-05T12:55:08Z
603896432,地鳴雪,69906737,chocoTaco,2020-11-05T12:48:29Z
594896376,Game_Of_Master,69906737,chocoTaco,2020-11-05T12:46:42Z
603923431,lqmnhery,69906737,chocoTaco,2020-11-05T12:44:36Z
603754300,liluca190601,69906737,chocoTaco,2020-11-05T12:37:24Z
603900098,mustfa808,69906737,chocoTaco,2020-11-05T12:36:14Z
224492418,schroeder321,69906737,chocoTaco,2020-11-05T12:32:51Z
514344106,knud_forhud69,69906737,chocoTaco,2020-11-05T12:31:12Z
603920478,jackpotme,69906737,chocoTaco,2020-11-05T12:28:51Z
603620917,tharthargyiphyo,69906737,chocoTaco,2020-11-05T12:28:00Z
603918973,zaid_khan_10,69906737,chocoTaco,2020-11-05T12:19:39Z
603088839,8454281181,69906737,chocoTaco,2020-11-05T12:11:27Z
603329342,jaspa10000000,69906737,chocoTaco,2020-11-05T12:08:07Z
603915692,leedamnnn,69906737,chocoTaco,2020-11-05T12:00:52Z
526790028,yunnnnn0825,69906737,chocoTaco,2020-11-05T11:56:55Z
84476849,dsoegijono,69906737,chocoTaco,2020-11-05T11:55:17Z
442066393,vladick7777,69906737,chocoTaco,2020-11-05T11:52:51Z
590770433,sarpniling,69906737,chocoTaco,2020-11-05T11:50:48Z
480463657,raffay_44,69906737,chocoTaco,2020-11-05T11:43:02Z
600832664,you_stupis,69906737,chocoTaco,2020-11-05T11:39:57Z
600408868,diibxsuspicuos,69906737,chocoTaco,2020-11-05T11:38:24Z
603576950,parabellum_3,69906737,chocoTaco,2020-11-05T11:37:25Z
603681786,lonewolf55micky,69906737,chocoTaco,2020-11-05T11:35:34Z
131131267,myshelf,69906737,chocoTaco,2020-11-05T11:25:18Z
597999466,khuongxuanhuy,69906737,chocoTaco,2020-11-05T11:24:08Z
237053953,winonarr,69906737,chocoTaco,2020-11-05T10:49:18Z
603905367,aedriaaann,69906737,chocoTaco,2020-11-05T10:47:56Z
603904570,boyka044,69906737,chocoTaco,2020-11-05T10:45:18Z
261256350,papagalos1993,69906737,chocoTaco,2020-11-05T10:39:44Z
554066518,dave_kush,69906737,chocoTaco,2020-11-05T10:37:05Z
603902244,itshitmanboii,69906737,chocoTaco,2020-11-05T10:27:47Z
588493898,ItsJustRed12,69906737,chocoTaco,2020-11-05T10:11:22Z
79489961,frankehd,69906737,chocoTaco,2020-11-05T10:02:52Z
128658597,anwaryahya,69906737,chocoTaco,2020-11-05T09:59:46Z
603563183,redwine108,69906737,chocoTaco,2020-11-05T09:41:06Z
602785323,mistyxop,69906737,chocoTaco,2020-11-05T09:40:26Z
587029493,amrani202,69906737,chocoTaco,2020-11-05T09:34:48Z
602520039,daniel064805,69906737,chocoTaco,2020-11-05T09:34:32Z
603603785,crimsonstrrike,69906737,chocoTaco,2020-11-05T09:14:01Z
205215091,kamikzexi,69906737,chocoTaco,2020-11-05T08:57:03Z
511518029,roqu3for7,69906737,chocoTaco,2020-11-05T08:48:53Z
600880990,dpqb0129,69906737,chocoTaco,2020-11-05T08:43:06Z
602169507,ahmad_basyaeb,69906737,chocoTaco,2020-11-05T08:39:02Z
603886718,nottysoulkid,69906737,chocoTaco,2020-11-05T08:31:50Z
603883156,dks0708,69906737,chocoTaco,2020-11-05T08:28:46Z
603887075,noobie19,69906737,chocoTaco,2020-11-05T08:25:07Z
603586985,sabertoofh,69906737,chocoTaco,2020-11-05T08:14:10Z
603884453,koftebaba25,69906737,chocoTaco,2020-11-05T08:13:42Z
534386084,nanielitox,69906737,chocoTaco,2020-11-05T08:04:45Z
603883369,wafiqr,69906737,chocoTaco,2020-11-05T08:00:49Z
603541896,gxmer_ry,69906737,chocoTaco,2020-11-05T07:55:35Z
603775624,sfgwai_6816,69906737,chocoTaco,2020-11-05T07:55:34Z
186308631,Hoskins13,69906737,chocoTaco,2020-11-05T07:51:56Z
564824111,sagnik_sen,69906737,chocoTaco,2020-11-05T07:47:21Z
603879135,rtxmark,69906737,chocoTaco,2020-11-05T07:25:15Z
444621449,twinfrozennn,69906737,chocoTaco,2020-11-05T07:14:07Z
471433080,aivalabala,69906737,chocoTaco,2020-11-05T07:04:43Z
21701354,Restingsound,69906737,chocoTaco,2020-11-05T07:03:19Z
433889505,E1thy_KrakeN,69906737,chocoTaco,2020-11-05T06:52:42Z
603874810,overclocked99,69906737,chocoTaco,2020-11-05T06:52:34Z
247090724,zhulafif,69906737,chocoTaco,2020-11-05T06:49:28Z
603852087,coooopu,69906737,chocoTaco,2020-11-05T06:44:23Z
598328789,saleh1386hoseini60,69906737,chocoTaco,2020-11-05T06:36:41Z
603871970,wujikong,69906737,chocoTaco,2020-11-05T06:36:20Z
603870983,alyhoopaprika,69906737,chocoTaco,2020-11-05T06:28:12Z
603871272,daakujerry,69906737,chocoTaco,2020-11-05T06:25:46Z
579330973,feralskull,69906737,chocoTaco,2020-11-05T06:25:19Z
536501383,xulhamin,69906737,chocoTaco,2020-11-05T06:21:22Z
588300138,urafase,69906737,chocoTaco,2020-11-05T06:18:17Z
245616676,animeh_,69906737,chocoTaco,2020-11-05T06:17:30Z
602170318,madkthulu,69906737,chocoTaco,2020-11-05T06:15:13Z
499887400,cosm1c0p,69906737,chocoTaco,2020-11-05T06:14:38Z
602781908,narutouzumaki123987,69906737,chocoTaco,2020-11-05T06:08:18Z
603404336,i_am_firxbox,69906737,chocoTaco,2020-11-05T06:07:24Z
511218419,wetrain4,69906737,chocoTaco,2020-11-05T06:06:31Z
199462071,OwieG_,69906737,chocoTaco,2020-11-05T06:04:40Z
603867309,apex_better_than_u,69906737,chocoTaco,2020-11-05T06:02:53Z
603867315,dbmg5_,69906737,chocoTaco,2020-11-05T06:02:28Z
603827497,spexkers,69906737,chocoTaco,2020-11-05T05:59:01Z
269127982,AimBotkin,69906737,chocoTaco,2020-11-05T05:58:46Z
603865956,gepedwin,69906737,chocoTaco,2020-11-05T05:54:45Z
179898212,o4va,69906737,chocoTaco,2020-11-05T05:40:03Z
469917557,craptinmypants,69906737,chocoTaco,2020-11-05T05:37:53Z
114488556,Beauzey,69906737,chocoTaco,2020-11-05T05:37:51Z
569664585,rueus12,69906737,chocoTaco,2020-11-05T05:36:48Z
586124351,vladofire,69906737,chocoTaco,2020-11-05T05:36:26Z
603557423,3141993,69906737,chocoTaco,2020-11-05T05:31:59Z
82312785,我就爛喇,69906737,chocoTaco,2020-11-05T05:31:54Z
144841269,megamoogaming,69906737,chocoTaco,2020-11-05T05:29:05Z
191393877,mattstarman,69906737,chocoTaco,2020-11-05T05:24:39Z
603861265,vinhkytk,69906737,chocoTaco,2020-11-05T05:24:20Z
263236475,roomierlim3,69906737,chocoTaco,2020-11-05T05:21:34Z
603860406,fruitypaste,69906737,chocoTaco,2020-11-05T05:19:13Z
560141278,call911ifoundmyself,69906737,chocoTaco,2020-11-05T05:19:11Z
477578311,ashquirit,69906737,chocoTaco,2020-11-05T05:15:49Z
603853349,theimmortalruler,69906737,chocoTaco,2020-11-05T05:13:53Z
603858767,itsmelesterrrr,69906737,chocoTaco,2020-11-05T05:12:48Z
602108920,1pndw,69906737,chocoTaco,2020-11-05T05:11:38Z
536392725,camilotabares22,69906737,chocoTaco,2020-11-05T05:10:47Z
599254235,ItzArkodoh,69906737,chocoTaco,2020-11-05T05:09:48Z
603857335,chunny328,69906737,chocoTaco,2020-11-05T05:04:31Z
52870504,Mythicalsausage,69906737,chocoTaco,2020-11-05T04:58:47Z
134838363,Rakenfia,69906737,chocoTaco,2020-11-05T04:44:38Z
603853902,tam2aidii,69906737,chocoTaco,2020-11-05T04:43:25Z
